#time,flux,error
7.4930903,0.491653941051,0.0168501775036
8.4658333,0.480928974484,0.0308882598545
19.4600926,0.545992810806,0.0252361990114
21.4546875,0.535174379764,0.0345174057903
36.3911227,0.485825014701,0.0182748957656
37.4110532,0.500588552142,0.0180040285752
42.3736111,0.457034743615,0.0160768921195
80.2693403,0.4977757846,0.0312872109519
82.2638657,0.504964971962,0.0298301168603
83.2854745,0.53945215714,0.027819155796
84.2582176,0.497375142441,0.0166838364961
85.2800579,0.540431128374,0.0252942219947
88.247581,0.468118826018,0.0449764125703
89.2692245,0.510266150875,0.0185021271839
92.2366782,0.520817207824,0.050107712011
118.1664583,0.625667126295,0.0266724276291
134.1249537,0.607058061588,0.0192784307758
136.1197801,0.666615826717,0.0255796354022
144.0980903,0.699402941166,0.0233766817219
148.0872454,0.709455681582,0.0218432968926
153.073206,0.643879279216,0.137579442938
161.0727431,0.643635468044,0.0207181679415
167.0567477,0.662518781487,0.0261468660563
172.0211458,0.628847703495,0.0329470342707
198.9476157,0.669703815812,0.0342073371612
199.9659838,0.684809401687,0.0814516403638
207.9221528,0.827049515616,0.0901417175881
210.9359491,0.797424144289,0.0226723457723
213.9056019,0.843216523205,0.0438190065121
214.9252315,0.819806536001,0.129534264377
217.8940972,0.791088205439,0.12547230908
219.8889005,0.83149091181,0.0247569028322
221.8838773,0.837589857679,0.0401685061968
225.8725694,0.804152146735,0.0529948975533
227.882037,0.858719416979,0.0400555638203
231.8714468,0.834151395468,0.0368152828858
237.8552431,0.831852068111,0.0443723067832
241.8445139,0.815604962892,0.0505856551792
245.8330903,0.726354858855,0.0209368871439
296.7035301,0.811365402665,0.0233748537554
302.6877199,0.85506031025,0.0227235022864
308.6796181,0.855327194489,0.0253265027122
310.6746991,0.812221691004,0.0357548527169
315.6548495,0.871968196555,0.349017222932
317.6531019,0.795809835165,0.0220731404676
319.648287,0.830713790194,0.0231495903786
323.6373958,0.773051397073,0.0245324309691
339.5940856,0.754665786388,0.0298043745288
357.5402778,0.710967050555,0.0371784041993
383.4688657,0.672351447801,0.0252570258245
387.4604861,0.678029694932,0.0235622045126
393.448044,0.682877127595,0.0190071387897
397.4367708,0.698462852415,0.0193775531217
403.4202199,0.731815965591,0.0208979974832
409.4040046,0.745209819213,0.0204558920119
411.3986806,0.729868044181,0.0306950171067
413.3930324,0.719514692313,0.0198783468074
415.3888426,0.699484859048,0.0199126300559
417.3840278,0.703092234466,0.0200356742601
421.3730324,0.717158054945,0.0337045340992
425.3616898,0.761997421625,0.0299961649936
429.3506366,0.747002871413,0.0204053047829
433.3396991,0.743857133804,0.0324360947994
439.3263657,0.756870654508,0.0226734244635
442.3387731,0.745067996392,0.0180269321904
445.3331829,0.766200893281,0.021570249239
448.2963773,0.730887423491,0.0142815091338
455.2863773,0.690487736378,0.0251566635003
457.5461458,0.667016311489,0.0163710425879
460.5339468,0.64198216264,0.0132182446284
468.2396644,0.599422420676,0.0167050989945
476.2255556,0.536042024766,0.0113851814369
482.2277083,0.512769725357,0.0164120351839
485.2008218,0.50744474566,0.0118179305068
488.1925926,0.445655034475,0.0292408108693
491.1779861,0.453443414755,0.0105905095199
507.124537,0.441038759665,0.0130236290255
513.1218866,0.433149187539,0.0428904688458
536.0535069,0.365355479603,0.0155197793246
544.0344444,0.361440458567,0.00938363402988
551.0086343,0.391024702891,0.0129577263965
562.9802315,0.3747760558,0.0168339105761
571.9692824,0.404155100907,0.0207230203641
586.8978241,0.366938910316,0.0257137796469
589.8903241,0.39306083637,0.0215524038676
592.9020833,0.383535433044,0.0137107070764
595.8895139,0.399292291249,0.00922496585351
598.8828819,0.395637634347,0.0154722807958
601.9026389,0.351656508045,0.0239071433763
604.9005903,0.407322678241,0.0127386056268
607.885706,0.380807197943,0.0163419070887
610.8706366,0.374936118717,0.0218182933521
613.8604167,0.384410303265,0.0354464987096
616.8553704,0.231391371291,0.0230227883667
619.8465856,0.375594497882,0.014567724979
622.8364931,0.361563855853,0.014380609364
625.8284491,0.373864767767,0.0249549235686
628.8209722,0.34140861581,0.00925292887768
631.81125,0.364568003769,0.0239647795738
634.8034375,0.354781419153,0.0270552056593
640.7865394,0.408108416914,0.0107940577829
644.7759375,0.396461308186,0.00909612460946
647.7703819,0.415508423173,0.0117787393942
669.7142593,0.44810502737,0.0235074311031
672.6982755,0.440526831228,0.0123277621868
675.6948727,0.44882402991,0.0296532628398
678.6875347,0.446758578153,0.030816843703
688.6465278,0.50323800148,0.0593284602615
691.6365278,0.501382025234,0.0164485194206
695.6119676,0.526225063084,0.0756969686893
701.5919213,0.592354406835,0.0133365403239
710.5739699,0.673923675952,0.0870608258581
717.5581366,0.682612015164,0.0211702421891
720.5510417,0.714492811805,0.021997871148
724.5317477,0.766363004275,0.014482932517
727.5257292,0.790348502879,0.100425924941
731.5101968,0.733235780491,0.05481337736
734.5192245,0.788372309835,0.048355617461
740.4869213,0.780663965306,0.0298647545794
746.4760764,0.845221773653,0.0320742818554
749.4663889,0.790945503426,0.0154277321165
756.4569097,0.793726248255,0.0175663571708
759.4322338,0.806179365302,0.0202926186353
762.4290625,0.810588287471,0.0174502329279
765.4274653,0.794290269782,0.0297307054438
